arm,bayes_nll,conditional_w2_squared,covariance_head_outputs,excess_nll,family,heldout_contrast_loss,maximum_principal_sine,method,projector_error,seed,test_nll,true_crossblock_leakage
signed_permutation,1.3590425482510529,0.023422496776058174,4,0.0252494422584624,diagonal,0.007753225044239251,0.0,oracle_diagonal,0.0,109,1.3842919905095155,0.0
signed_permutation,1.3590425482510529,0.002138565508145979,10,0.0032963788645484606,full,0.4311566774682197,1.0,provisional_full,1.0,109,1.3623389271156017,0.43607271186987107
haar,1.359042548251053,0.001406364702509127,6,0.0020869563937656343,block,0.007753225044238519,0.0,oracle_block,0.0,109,1.361129504644819,2.1019408602525417e-31
haar,1.359042548251053,0.02417510374331435,6,0.02446459039852901,block,0.4466428686002383,0.8517273873852419,permutation_block,0.9699549778279055,109,1.383507138649582,0.44161954654581204
haar,1.359042548251053,0.0017027232618318914,6,0.002401221405222642,block,0.0055924752087830615,0.23974672519506346,jbd_block,0.30728503906780974,109,1.3614437696562758,0.004874137383654062
haar,1.359042548251053,0.023422496776058187,4,0.025249442258462394,diagonal,0.007753225044238519,0.0,oracle_diagonal,0.0,109,1.3842919905095157,2.1019408602525417e-31
haar,1.359042548251053,0.002138565508145918,10,0.0032963788645484675,full,0.6508034356765957,0.7010340631637955,provisional_full,0.7500604688533242,109,1.3623389271156017,0.663365896285751
signed_permutation,1.3656587905957387,0.0014888273325363152,6,0.002738268187978568,block,0.007024970282332164,0.0,oracle_block,0.0,110,1.368397058783717,0.0
signed_permutation,1.3656587905957387,0.001488827332536314,6,0.0027382681879785683,block,0.007024970282332163,0.0,permutation_block,0.0,110,1.368397058783717,0.0
signed_permutation,1.365658790595739,0.0017724189171565469,6,0.003061745015473809,block,0.0034518587002019575,0.2341555185884371,jbd_block,0.3006405954924781,110,1.3687205356112127,0.004832363177555423
signed_permutation,1.3656587905957387,0.02301444985054724,4,0.027050850814511005,diagonal,0.007024970282332164,0.0,oracle_diagonal,0.0,110,1.3927096414102498,0.0
signed_permutation,1.3656587905957387,0.0021590617880599267,10,0.0038559509443455457,full,0.4450296290837772,1.0,provisional_full,1.0,110,1.3695147415400843,0.43706230209734953
haar,1.365658790595739,0.0014888273325363252,6,0.002738268187978498,block,0.007024970282332173,0.0,oracle_block,0.0,110,1.3683970587837175,6.2019082380432545e-31
haar,1.3656587905957387,0.009173056435247389,6,0.011727687151697782,block,0.14665869072472604,0.6140775897685522,permutation_block,0.6178252057423638,110,1.3773864777474365,0.15760559845470912
haar,1.3656587905957387,0.0017724189171565393,6,0.003061745015473744,block,0.0034518587002019033,0.2341555185884352,jbd_block,0.30064059549247557,110,1.3687205356112127,0.004832363177555393
haar,1.365658790595739,0.02301444985054725,4,0.027050850814510998,diagonal,0.007024970282332173,0.0,oracle_diagonal,0.0,110,1.3927096414102498,6.2019082380432545e-31
haar,1.3656587905957387,0.0021590617880598443,10,0.0038559509443453375,full,0.4405886241072727,0.8535546383514171,provisional_full,0.8560201859230586,110,1.3695147415400841,0.40676165827768374
signed_permutation,1.3663932062550643,0.001558332632357715,6,0.0022154457425126593,block,0.00268867682592699,0.0,oracle_block,0.0,111,1.368608651997577,0.0
signed_permutation,1.3663932062550643,0.001558332632357715,6,0.0022154457425126593,block,0.00268867682592699,0.0,permutation_block,0.0,111,1.368608651997577,0.0
signed_permutation,1.3663932062550643,0.0016051131934978298,6,0.0021134637307177015,block,0.002503198972996349,0.07088984909762248,jbd_block,0.08284754571284679,111,1.3685066699857824,0.0006921316382970115
signed_permutation,1.3663932062550643,0.023284550416698007,4,0.02786363154463805,diagonal,0.00268867682592699,0.0,oracle_diagonal,0.0,111,1.3942568377997027,0.0
signed_permutation,1.3663932062550643,0.002027400935989376,10,0.0030989017010360637,full,0.42420605754506435,1.0,provisional_full,1.0,111,1.3694921079561004,0.4345451734181756
haar,1.3663932062550643,0.0015583326323577343,6,0.0022154457425126455,block,0.0026886768259269216,2.9802322387695312e-08,oracle_block,0.0,111,1.368608651997577,8.38793498623018e-31
haar,1.3663932062550643,0.010738638400811074,6,0.012470875542873865,block,0.18412342943442794,0.5783694290648733,permutation_block,0.6673279641238237,111,1.3788640817979383,0.18650339762738213
haar,1.3663932062550643,0.00160511319349781,6,0.002113463730717683,block,0.0025031989729963153,0.07088984909761778,jbd_block,0.08284754571284426,111,1.3685066699857822,0.0006921316382970161
haar,1.3663932062550643,0.02328455041669802,4,0.027863631544638046,diagonal,0.0026886768259269216,2.9802322387695312e-08,oracle_diagonal,0.0,111,1.3942568377997022,8.38793498623018e-31
haar,1.3663932062550643,0.002027400935989287,10,0.003098901701036051,full,0.18412342943442794,0.5783694290648733,provisional_full,0.6673279641238237,111,1.3694921079561007,0.18650339762738213
signed_permutation,1.358473034342394,0.001717022984296715,6,0.004009421289769853,block,0.004367973230797447,0.0,oracle_block,0.0,112,1.3624824556321642,0.0
signed_permutation,1.358473034342394,0.001717022984296715,6,0.004009421289769853,block,0.004367973230797447,0.0,permutation_block,0.0,112,1.3624824556321642,0.0
signed_permutation,1.358473034342394,0.0017564444358157166,6,0.004230575536569953,block,0.003684162368297131,0.048693668462506785,jbd_block,0.05017732474193793,112,1.3627036098789644,0.000809610301584194
signed_permutation,1.358473034342394,0.023236472522801907,4,0.026918695275265428,diagonal,0.004367973230797447,0.0,oracle_diagonal,0.0,112,1.3853917296176597,0.0
signed_permutation,1.358473034342394,0.0024296814835540904,10,0.005627349235951779,full,0.004367973230797447,0.0,provisional_full,0.0,112,1.364100383578346,0.0
haar,1.358473034342394,0.0017170229842967423,6,0.004009421289769895,block,0.004367973230797549,2.9802322387695312e-08,oracle_block,0.0,112,1.3624824556321642,6.96229753929545e-31
haar,1.358473034342394,0.018966105975250464,6,0.02358592572214766,block,0.3306481955533375,0.648982234950416,permutation_block,0.6515773127056305,112,1.3820589600645419,0.3439428367118144
haar,1.358473034342394,0.0017564444358157316,6,0.004230575536570039,block,0.0036841623682972334,0.048693668462506785,jbd_block,0.05017732474193852,112,1.362703609878964,0.0008096103015841895
haar,1.358473034342394,0.02323647252280191,4,0.02691869527526534,diagonal,0.004367973230797549,2.9802322387695312e-08,oracle_diagonal,0.0,112,1.3853917296176597,6.96229753929545e-31
haar,1.358473034342394,0.002429681483554069,10,0.005627349235951898,full,0.41968396364181176,0.9192377988749885,provisional_full,0.9497394885588274,112,1.3641003835783463,0.42842937889030086
signed_permutation,1.3589027615563023,0.0014047965934607532,6,0.0026935716366071815,block,0.0030739167454470967,0.0,oracle_block,0.0,113,1.3615963331929095,0.0
signed_permutation,1.3589027615563023,0.0014047965934607539,6,0.002693571636607184,block,0.0030739167454470967,0.0,permutation_block,0.0,113,1.3615963331929095,0.0
signed_permutation,1.3589027615563023,0.0014619881940229353,6,0.002682227906815833,block,0.0026997625418540014,0.11597709073937966,jbd_block,0.1423505305478553,113,1.3615849894631182,0.0014575198278818666
signed_permutation,1.3589027615563023,0.022998227965865703,4,0.026306922648765,diagonal,0.0030739167454470967,0.0,oracle_diagonal,0.0,113,1.3852096842050672,0.0
signed_permutation,1.3589027615563023,0.0017776433329921724,10,0.002977622770282618,full,0.0030739167454470967,0.0,provisional_full,0.0,113,1.3618803843265848,0.0
