seed,method,metric,value
1,vae_lfm_diagonal,sliced_w2,0.3450433640678367
2,vae_lfm_diagonal,sliced_w2,0.36894987287641967
3,vae_lfm_diagonal,sliced_w2,0.331408465722622
4,vae_lfm_diagonal,sliced_w2,0.3399602078226173
0,vae_lfm_diagonal,mmd2,0.007286502911829639
1,vae_lfm_diagonal,mmd2,0.0074517801120761455
2,vae_lfm_diagonal,mmd2,0.00846643442793038
3,vae_lfm_diagonal,mmd2,0.005568613239595344
4,vae_lfm_diagonal,mmd2,0.0066971921694291
0,vae_lfm_diagonal,energy,0.07116911631185552
1,vae_lfm_diagonal,energy,0.07269341658543027
2,vae_lfm_diagonal,energy,0.08675774968762906
3,vae_lfm_diagonal,energy,0.05900127961914259
4,vae_lfm_diagonal,energy,0.06778820868493618
0,vae_lfm_diagonal,cov_error,0.46345509628056847
1,vae_lfm_diagonal,cov_error,0.4560268884454053
2,vae_lfm_diagonal,cov_error,0.47031734290455024
3,vae_lfm_diagonal,cov_error,0.45609007283675373
4,vae_lfm_diagonal,cov_error,0.4567034468982225
0,vae_lfm_diagonal,mean_error,0.07781279878840762
1,vae_lfm_diagonal,mean_error,0.07550359504787205
2,vae_lfm_diagonal,mean_error,0.09290463631205258
3,vae_lfm_diagonal,mean_error,0.06972181051688187
4,vae_lfm_diagonal,mean_error,0.07827886166592886
0,vae_lfm_diagonal,feature_frechet,6.0431558267669325
1,vae_lfm_diagonal,feature_frechet,6.469448772042979
2,vae_lfm_diagonal,feature_frechet,7.691468872670076
3,vae_lfm_diagonal,feature_frechet,5.6565488403734725
4,vae_lfm_diagonal,feature_frechet,5.034722078458476
0,vae_lfm_diagonal,class_feature_frechet,12.166444831452954
1,vae_lfm_diagonal,class_feature_frechet,13.000152815666048
2,vae_lfm_diagonal,class_feature_frechet,14.8458018385453
3,vae_lfm_diagonal,class_feature_frechet,10.23442422464864
4,vae_lfm_diagonal,class_feature_frechet,9.705024957900228
0,vae_lfm_diagonal,precision,0.7166666666666667
1,vae_lfm_diagonal,precision,0.75
2,vae_lfm_diagonal,precision,0.7222222222222222
3,vae_lfm_diagonal,precision,0.725
4,vae_lfm_diagonal,precision,0.7138888888888889
0,vae_lfm_diagonal,recall,0.5972222222222222
1,vae_lfm_diagonal,recall,0.6194444444444445
2,vae_lfm_diagonal,recall,0.5888888888888889
3,vae_lfm_diagonal,recall,0.6
4,vae_lfm_diagonal,recall,0.6027777777777777
0,vae_lfm_diagonal,requested_label_accuracy,0.6083333492279053
1,vae_lfm_diagonal,requested_label_accuracy,0.5861111283302307
