seed,modality,method,nll_per_dimension
815,image,exact_split,0.9146767122918475
815,image,full_token_exact,0.9146767122918475
815,image,diagonal_vae,1.0129603995543133
815,image,coarse_only,1.0171025579752195
815,image,full_token_euler,0.914852659916152
815,video,oracle,1.1670702018539871
815,video,qalt,1.167177109335078
815,video,exact_split,1.167177109335078
815,video,full_token_exact,1.167177109335078
815,video,diagonal_vae,1.2714281204463551
815,video,coarse_only,1.2818156040522337
815,video,full_token_euler,1.167192796457215
816,image,oracle,0.9335164410943851
816,image,qalt,0.933740258338127
816,image,exact_split,0.933740258338127
816,image,full_token_exact,0.933740258338127
816,image,diagonal_vae,1.02827568595093
816,image,coarse_only,1.0306608542688798
816,image,full_token_euler,0.9338707154733481
816,video,oracle,1.1512725202676892
816,video,qalt,1.1513330454812256
816,video,exact_split,1.1513330454812256
816,video,full_token_exact,1.1513330454812256
816,video,diagonal_vae,1.2570641390184358
816,video,coarse_only,1.265363548535756
816,video,full_token_euler,1.1514612370129031
817,image,oracle,0.8843034373305929
817,image,qalt,0.8844122189190946
817,image,exact_split,0.8844122189190946
817,image,full_token_exact,0.8844122189190946
817,image,diagonal_vae,0.9941214159662299
817,image,coarse_only,1.0008221866728975
817,image,full_token_euler,0.8846139802064152
817,video,oracle,1.0745261094793623
817,video,qalt,1.0746054858854235
817,video,exact_split,1.0746054858854235
817,video,full_token_exact,1.0746054858854235
817,video,diagonal_vae,1.202875106640864
817,video,coarse_only,1.2070546799318569
817,video,full_token_euler,1.074757335473658
818,image,oracle,0.9203667876057732
818,image,qalt,0.9205990969743639
818,image,exact_split,0.9205990969743639
818,image,full_token_exact,0.9205990969743639
818,image,diagonal_vae,1.0187412712965398
818,image,coarse_only,1.0221077117471062
818,image,full_token_euler,0.9208352166669747
818,video,oracle,1.150548937970943
818,video,qalt,1.1506953517532872
818,video,exact_split,1.1506953517532872
818,video,full_token_exact,1.1506953517532872
818,video,diagonal_vae,1.2598006802415092
818,video,coarse_only,1.2676341034451215
818,video,full_token_euler,1.1507938077566338
819,image,oracle,0.9127954520302071
819,image,qalt,0.9130148490904467
819,image,exact_split,0.9130148490904467
819,image,full_token_exact,0.9130148490904467
819,image,diagonal_vae,1.0124062550728292
819,image,coarse_only,1.016873298328055
819,image,full_token_euler,0.9131977522760231
819,video,oracle,1.2252012906739873
819,video,qalt,1.2252572271835258
819,video,exact_split,1.2252572271835258
819,video,full_token_exact,1.2252572271835258
819,video,diagonal_vae,1.3096543622786283
819,video,coarse_only,1.3209650022946196
819,video,full_token_euler,1.225308285790062
820,image,oracle,0.9250212716756789
820,image,qalt,0.9250255932428818
820,image,exact_split,0.9250255932428818
820,image,full_token_exact,0.9250255932428818
820,image,diagonal_vae,1.0208582867913127
820,image,coarse_only,1.0244042205530657
820,image,full_token_euler,0.9252627664753431
820,video,oracle,1.0984501172931957
820,video,qalt,1.0985240015427244
820,video,exact_split,1.0985240015427244
820,video,full_token_exact,1.0985240015427244
820,video,diagonal_vae,1.2198549178328115
820,video,coarse_only,1.2269631114451949
820,video,full_token_euler,1.0986423922945667
821,image,oracle,0.9132437499216329
821,image,qalt,0.9135533128330828
