arm,bayes_nll,conditional_w2_squared,covariance_head_outputs,excess_nll,family,heldout_contrast_loss,maximum_principal_sine,method,projector_error,seed,test_nll,true_crossblock_leakage
haar,1.3577715536512014,0.0019662361246979595,6,0.00216189222194708,block,0.007191822577961109,0.0,oracle_block,0.0,501,1.3599334458731482,2.8766136402016572e-30
haar,1.357771553651201,0.022491469642727722,6,0.02604908537695427,block,0.42821276096731875,0.9250495809481069,permutation_block,0.925354212842577,501,1.3838206390281556,0.408839483424217
haar,1.357771553651201,0.0020260899165372237,6,0.0023713694868063464,block,0.00851251311385789,0.1029628358552133,jbd_block,0.1279978523545391,501,1.3601429231380076,0.0013798129783389233
haar,1.3577715536512014,0.023640649957056434,4,0.025127349954522725,diagonal,0.007191822577961109,0.0,oracle_diagonal,0.0,501,1.3828989036057242,2.8766136402016572e-30
haar,1.357771553651201,0.0025537050102607648,10,0.0039012555474524325,full,0.48748466002954666,0.8436021316436104,provisional_full,0.9051675131283713,501,1.3616728091986539,0.5102546056946664
signed_permutation,1.3696734574651532,0.0016908487628077634,6,0.0031794328618447647,block,0.011775603760248488,0.0,oracle_block,0.0,502,1.372852890326998,0.0
signed_permutation,1.3696734574651532,0.0016908487628077636,6,0.0031794328618447664,block,0.01177560376024849,0.0,permutation_block,0.0,502,1.372852890326998,0.0
signed_permutation,1.3696734574651535,0.002261527891377124,6,0.0037887584863274875,block,0.010309195926514572,0.4589896598399103,jbd_block,0.6279179888260852,502,1.373462215951481,0.013983465609787995
signed_permutation,1.3696734574651532,0.02382287013053101,4,0.028092069778956,diagonal,0.011775603760248488,0.0,oracle_diagonal,0.0,502,1.3977655272441094,0.0
signed_permutation,1.3696734574651532,0.002291582251238898,10,0.004651675028240224,full,0.41606730277586396,1.0,provisional_full,1.0,502,1.3743251324933936,0.44189747026103776
haar,1.3696734574651532,0.001690848762807765,6,0.0031794328618446085,block,0.011775603760248474,2.9802322387695312e-08,oracle_block,0.0,502,1.372852890326998,2.9709585638729706e-31
haar,1.3696734574651532,0.02479436519339452,6,0.025773013372849696,block,0.4489218497139615,0.7650208108571659,permutation_block,0.8357397977573838,502,1.395446470838003,0.4513629547138926
haar,1.3696734574651532,0.0022615278913771125,6,0.0037887584863274234,block,0.010309195926514558,0.4589896598398998,jbd_block,0.6279179888260698,502,1.3734622159514809,0.013983465609787523
haar,1.3696734574651532,0.02382287013053101,4,0.028092069778955956,diagonal,0.011775603760248474,2.9802322387695312e-08,oracle_diagonal,0.0,502,1.3977655272441094,2.9709585638729706e-31
haar,1.3696734574651532,0.002291582251238767,10,0.004651675028240059,full,0.8050393995471563,0.7054563323659999,provisional_full,0.8117317511764083,502,1.3743251324933936,0.794153190904984
signed_permutation,1.3634584366936715,0.0015283130982620414,6,0.0024778024132498873,block,0.0048871111161188415,0.0,oracle_block,0.0,503,1.3659362391069214,0.0
signed_permutation,1.3634584366936715,0.001528313098262044,6,0.002477802413249888,block,0.0048871111161188415,0.0,permutation_block,0.0,503,1.3659362391069216,0.0
signed_permutation,1.3634584366936717,0.001716181975156916,6,0.002391345593795794,block,0.005922758146610835,0.24645423376911066,jbd_block,0.34188533736555765,503,1.3658497822874673,0.004967404512212703
signed_permutation,1.3634584366936715,0.02319444491894702,4,0.02694376967794297,diagonal,0.0048871111161188415,0.0,oracle_diagonal,0.0,503,1.3904022063716148,0.0
signed_permutation,1.3634584366936715,0.0021478331902520854,10,0.0037587876935293476,full,0.0048871111161188415,0.0,provisional_full,0.0,503,1.367217224387201,0.0
haar,1.3634584366936715,0.0015283130982620553,6,0.0024778024132498713,block,0.004887111116118848,2.1073424255447017e-08,oracle_block,0.0,503,1.3659362391069212,5.314554514710347e-31
haar,1.3634584366936715,0.026622077054317465,6,0.03073996511075262,block,0.46635939949079575,0.7023341998462849,permutation_block,0.7097280172480945,503,1.394198401804424,0.4837105950826211
haar,1.3634584366936715,0.001716181975156951,6,0.0023913455937957986,block,0.005922758146610806,0.24645423376911044,jbd_block,0.3418853373655558,503,1.3658497822874673,0.004967404512212653
haar,1.3634584366936715,0.023194444918947024,4,0.026943769677942958,diagonal,0.004887111116118848,2.1073424255447017e-08,oracle_diagonal,0.0,503,1.3904022063716144,5.314554514710347e-31
haar,1.3634584366936715,0.002147833190252083,10,0.0037587876935293407,full,0.49416473135467076,0.8702522286067719,provisional_full,0.8716453548825197,503,1.367217224387201,0.48046340421589795
signed_permutation,1.367538806351309,0.0015020778372444098,6,0.0019892001629956716,block,0.008707370970141657,0.0,oracle_block,0.0,504,1.3695280065143045,0.0
signed_permutation,1.3675388063513088,0.0015020778372444074,6,0.0019892001629956725,block,0.008707370970141655,0.0,permutation_block,0.0,504,1.3695280065143045,0.0
signed_permutation,1.367538806351309,0.002195979262629262,6,0.002785017393985312,block,0.010933012490782424,0.48076288515224563,jbd_block,0.6628417651343121,504,1.3703238237452942,0.015334161955946394
signed_permutation,1.367538806351309,0.0236496926144778,4,0.026206161202425998,diagonal,0.008707370970141657,0.0,oracle_diagonal,0.0,504,1.3937449675537348,0.0
signed_permutation,1.3675388063513088,0.002098816121183212,10,0.0030575610216181655,full,0.008707370970141655,0.0,provisional_full,0.0,504,1.3705963673729271,0.0
haar,1.3675388063513092,0.0015020778372444607,6,0.0019892001629957484,block,0.008707370970141664,3.332000937312528e-08,oracle_block,0.0,504,1.3695280065143047,3.475323037836684e-30
haar,1.367538806351309,0.02165930722128016,6,0.02369864368662612,block,0.42394186510819376,0.8171062229781187,permutation_block,0.8192228736794519,504,1.3912374500379352,0.3921622593387288
haar,1.367538806351309,0.002195979262629284,6,0.002785017393985341,block,0.010933012490782375,0.48076288515224486,jbd_block,0.662841765134311,504,1.3703238237452942,0.015334161955946356
haar,1.3675388063513092,0.02364969261447786,4,0.02620616120242603,diagonal,0.008707370970141664,3.332000937312528e-08,oracle_diagonal,0.0,504,1.393744967553735,3.475323037836684e-30
haar,1.367538806351309,0.0020988161211832417,10,0.0030575610216182288,full,0.6346111256885835,0.8839449971575466,provisional_full,0.9696809742069894,504,1.3705963673729273,0.6299740480043171
